Block,Block_aov,Rep,Line,Ara,Treatment,Treatment2,Time,Red0,White0,Red1,White1,lnR.0.1.,lnW.0.1.,FitnessR.0.1.,FitnessW.0.1.,Fitness,LnFitness
3,3,2,m5,m,Mixed-Populations,Population,0,145,181,29,175,2.995732274,4.571459129,0.655312054,1.525990546,0.655312054,-0.183551843
1,1,2,p5,p,Mixed-Populations,Population,0,198,117,310,132,5.053475453,4.725798174,1.069337976,0.935158035,0.935158035,-0.02911499
2,2,2,p5,p,Mixed-Populations,Population,0,390,90,318,54,4.40107483,4.094344562,1.074915597,0.9303056,0.9303056,-0.031374365
3,3,2,p5,p,Mixed-Populations,Population,0,213,96,150,51,4.254513314,3.972647627,1.070951595,0.933749018,0.933749018,-0.029769842
1,1,2,m6,m,Mixed-Populations,Population,0,79,219,16,468,3.008311056,5.364566752,0.56077428,1.783248691,0.56077428,-0.251211914
2,2,2,m6,m,Mixed-Populations,Population,0,67,374,13,306,2.965426924,4.404499491,0.673272169,1.485283436,0.673272169,-0.171809338
3,3,2,m6,m,Mixed-Populations,Population,0,120,200,11,215,2.215573716,4.677490848,0.473667141,2.11118719,0.473667141,-0.324526742
1,1,3,m1,m,Clone,Clone,0,125,393,66,507,3.966511191,4.859871578,0.816176133,1.225225732,0.816176133,-0.088216109
2,2,3,m1,m,Clone,Clone,0,94,189,27,204,3.35771227,4.681543165,0.717223392,1.394265735,0.717223392,-0.144345554
3,3,3,m1,m,Clone,Clone,0,34,242,20,206,4.074541935,4.444108629,0.916841211,1.090701409,0.916841211,-0.037705874
1,1,3,p2,p,Clone,Clone,0,382,145,599,90,5.055011175,4.128246114,1.224493656,0.816664092,0.816664092,-0.087956539
2,2,3,p2,p,Clone,Clone,0,248,75,199,16,4.385046265,3.060270795,1.432894851,0.697887915,0.697887915,-0.156214322
3,3,3,p2,p,Clone,Clone,0,143,33,370,32,5.555828561,4.574398527,1.214548433,0.823351275,0.823351275,-0.084414838
2,2,2,m4,m,Mixed-Clones,Clone,0,20,200,5,292,3.218875825,4.983606622,0.645892838,1.548244447,0.645892838,-0.189839531
3,3,2,m4,m,Mixed-Clones,Clone,0,33,208,18,195,3.999034382,4.540631665,0.88072204,1.135432014,0.88072204,-0.055161135
5,4,2,m4,m,Mixed-Clones,Clone,0,61,117,9,243,2.691520899,5.336057695,0.504402511,1.98254366,0.504402511,-0.29722276
1,1,3,m5,m,Clone,Clone,0,228,365,67,480,3.380517176,4.879058936,0.692862542,1.443287722,0.692862542,-0.159352917
2,2,3,m5,m,Clone,Clone,0,131,227,14,221,2.369030192,4.57838287,0.5174382,1.93259794,0.5174382,-0.286141512
3,3,3,m5,m,Clone,Clone,0,36,155,27,459,4.317488114,5.690795279,0.758679218,1.318080127,0.758679218,-0.119941812
1,1,3,p5,p,Clone,Clone,0,406,198,560,78,4.92675381,3.673611982,1.341119812,0.745645535,0.745645535,-0.127467578
2,2,3,p5,p,Clone,Clone,0,247,115,142,27,4.051608907,3.156074924,1.283749279,0.778968305,0.778968305,-0.108480213
3,3,3,p5,p,Clone,Clone,0,182,101,357,23,5.278899281,3.125543885,1.688953819,0.5920825,0.5920825,-0.227617775
1,1,3,m6,m,Clone,Clone,0,83,463,23,636,3.321823794,4.922641695,0.674805115,1.481909337,0.674805115,-0.170821634
2,2,3,m6,m,Clone,Clone,0,50,227,11,188,3.091042453,4.416662131,0.699859387,1.428858451,0.699859387,-0.154989208
3,3,3,m6,m,Clone,Clone,0,52,209,14,358,3.292983797,5.14336892,0.640238693,1.56191747,0.640238693,-0.193658082
1,1,3,m1,m,Population,Population,0,194,390,39,438,3.000873673,4.721242357,0.635611021,1.573289272,0.635611021,-0.196808581
2,2,3,m1,m,Population,Population,0,157,202,8,154,1.628365922,4.333855091,0.375731511,2.661474937,0.375731511,-0.425122381
3,3,3,m1,m,Population,Population,0,43,201,26,347,4.102066608,5.151190058,0.796333772,1.255754855,0.796333772,-0.098904866
1,1,3,p2,p,Population,Population,0,427,135,417,46,4.581472395,3.528536804,1.298405727,0.770175284,0.770175284,-0.113410422
2,2,3,p2,p,Population,Population,0,268,67,182,10,4.218189893,2.70306266,1.560522424,0.640811042,0.640811042,-0.193270014
3,3,3,p2,p,Population,Population,0,185,26,573,39,5.735700078,5.010635294,1.14470516,0.873587396,0.873587396,-0.058693641
1,1,3,m4,m,Population,Population,0,49,435,6,439,2.505109357,4.614323568,0.542898503,1.841964925,0.542898503,-0.265281356
3,3,3,m4,m,Population,Population,0,21,201,6,486,3.352407217,5.488073902,0.610853148,1.637054673,0.610853148,-0.214063184
4,4,3,m4,m,Population,Population,0,40,124,10,212,3.218875825,5.141474895,0.626060788,1.597288984,0.626060788,-0.203383496
1,1,3,m5,m,Population,Population,0,171,426,37,342,3.074424542,4.385541577,0.70103646,1.426459331,0.70103646,-0.154259394
2,2,3,m5,m,Population,Population,0,143,202,9,139,1.839550133,4.231376422,0.434740366,2.300223487,0.434740366,-0.361770034
