Rep,Line,Treatment,Treatment1,Treatment2,meanLnFitness,Time,Generation,meanLnFitnessMixed
1,p2,Population,Single,Population,0.038617202,300,2000,0.038617202
1,m4,Population,Single,Population,0.004917813,300,2000,0.004917813
1,m5,Population,Single,Population,0.072928264,300,2000,0.072928264
1,p5,Population,Single,Population,0.039107503,300,2000,0.039107503
1,m6,Population,Single,Population,-0.002515568,300,2000,-0.002515568
2,m1,Population,Single,Population,0.142852288,300,2000,0.142852288
2,p2,Population,Single,Population,0.037517327,300,2000,0.037517327
2,m4,Population,Single,Population,0.081566369,300,2000,0.081566369
2,m5,Population,Single,Population,0.091503238,300,2000,0.091503238
2,p5,Population,Single,Population,-0.050181656,300,2000,-0.050181656
2,m6,Population,Single,Population,-0.046613611,300,2000,-0.046613611
3,m1,Population,Single,Population,0.004366139,300,2000,0.004366139
3,p2,Population,Single,Population,0.086310679,300,2000,0.086310679
3,m4,Population,Single,Population,0.072835031,300,2000,0.072835031
3,m5,Population,Single,Population,0.016904203,300,2000,0.016904203
3,p5,Population,Single,Population,-0.051736757,300,2000,-0.051736757
3,m6,Population,Single,Population,-0.051461519,300,2000,-0.051461519
